2024-07-10 08:56:36 INFO::Writing function arguments to log file
2024-07-10 08:56:36 DEBUG::Function arguments
2024-07-10 08:56:36 DEBUG::Output folder: Maaslin2_d3_lm_TSS_LOG
2024-07-10 08:56:36 DEBUG::Min Abundance: 0.000000
2024-07-10 08:56:36 DEBUG::Min Prevalence: 0.001000
2024-07-10 08:56:36 DEBUG::Normalization: TSS
2024-07-10 08:56:36 DEBUG::Transform: LOG
2024-07-10 08:56:36 DEBUG::Analysis method: LM
2024-07-10 08:56:36 DEBUG::Max significance: 0.250000
2024-07-10 08:56:36 DEBUG::Random effects: studyID
2024-07-10 08:56:36 DEBUG::Fixed effects: heart_cond
2024-07-10 08:56:36 DEBUG::Correction method: BH
2024-07-10 08:56:36 DEBUG::Standardize: TRUE
2024-07-10 08:56:36 DEBUG::Cores: 1
2024-07-10 08:56:36 INFO::Verifying options selected are valid
2024-07-10 08:56:36 INFO::Determining format of input files
2024-07-10 08:56:36 INFO::Input format is data samples as rows and metadata samples as rows
2024-07-10 08:56:36 DEBUG::A total of 44 samples were found in both the data and metadata
2024-07-10 08:56:36 DEBUG::Reordering data/metadata to use same sample ordering
2024-07-10 08:56:36 WARNING::Fitting problem for feature 4 returning NA
2024-07-10 08:56:36 INFO::Fitting model to feature number 5, Phenyllactic
2024-07-10 08:56:36 WARNING::Fitting problem for feature 5 returning NA
2024-07-10 08:56:36 INFO::Fitting model to feature number 6, Deoxyribose.5.phosphate
2024-07-10 08:56:36 WARNING::Fitting problem for feature 6 returning NA
2024-07-10 08:56:36 INFO::Fitting model to feature number 7, Taurine
2024-07-10 08:56:36 WARNING::Fitting problem for feature 7 returning NA
2024-07-10 08:56:36 INFO::Fitting model to feature number 8, X3.methyl.4.hydroxyphenylglycine
2024-07-10 08:56:36 WARNING::Fitting problem for feature 8 returning NA
2024-07-10 08:56:36 INFO::Fitting model to feature number 9, S.adenosyl.L.homocysteine
2024-07-10 08:56:36 WARNING::Fitting problem for feature 9 returning NA
2024-07-10 08:56:36 INFO::Fitting model to feature number 10, Taurodeoxycholate
2024-07-10 08:56:36 WARNING::Fitting problem for feature 10 returning NA
2024-07-10 08:56:36 INFO::Fitting model to feature number 11, Isocitrate
2024-07-10 08:56:36 WARNING::Fitting problem for feature 11 returning NA
2024-07-10 08:56:36 INFO::Fitting model to feature number 12, Riboflavin.5.MonoPhosphate
2024-07-10 08:56:36 WARNING::Fitting problem for feature 12 returning NA
2024-07-10 08:56:36 INFO::Fitting model to feature number 13, Uridine.5.diphosphate
2024-07-10 08:56:36 WARNING::Fitting problem for feature 13 returning NA
2024-07-10 08:56:36 INFO::Fitting model to feature number 14, Aminoadipic.Acid
2024-07-10 08:56:37 WARNING::Fitting problem for feature 14 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 15, Pyruvate
2024-07-10 08:56:37 WARNING::Fitting problem for feature 15 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 16, Glutathione.oxidized.GSSG.
2024-07-10 08:56:37 WARNING::Fitting problem for feature 16 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 17, Serotonin
2024-07-10 08:56:37 WARNING::Fitting problem for feature 17 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 18, X3.phosphoglycerate
2024-07-10 08:56:37 WARNING::Fitting problem for feature 18 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 19, Mevalonate
2024-07-10 08:56:37 WARNING::Fitting problem for feature 19 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 20, α.keto.β.methylvaleric.acid
2024-07-10 08:56:37 WARNING::Fitting problem for feature 20 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 21, Xanthine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 21 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 22, Uracil
2024-07-10 08:56:37 WARNING::Fitting problem for feature 22 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 23, Cholesterol.sulfate
2024-07-10 08:56:37 WARNING::Fitting problem for feature 23 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 24, Quercetin
2024-07-10 08:56:37 WARNING::Fitting problem for feature 24 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 25, Citraconic.acid
2024-07-10 08:56:37 WARNING::Fitting problem for feature 25 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 26, Malonyl.coA
2024-07-10 08:56:37 WARNING::Fitting problem for feature 26 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 27, X2.deoxyadenosine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 27 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 28, Fructose.1.6.bisphosphate
2024-07-10 08:56:37 WARNING::Fitting problem for feature 28 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 29, Tropisetron
2024-07-10 08:56:37 WARNING::Fitting problem for feature 29 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 30, X5.hydroxyindoleacetic.acid
2024-07-10 08:56:37 WARNING::Fitting problem for feature 30 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 31, X2.hydroxy.2.methylbutyrate
2024-07-10 08:56:37 WARNING::Fitting problem for feature 31 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 32, Hydroxyisocaproate
2024-07-10 08:56:37 WARNING::Fitting problem for feature 32 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 33, Homocysteate
2024-07-10 08:56:37 WARNING::Fitting problem for feature 33 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 34, Betaine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 34 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 35, Fructose.6.phosphate
2024-07-10 08:56:37 WARNING::Fitting problem for feature 35 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 36, Phenylpyruvate
2024-07-10 08:56:37 WARNING::Fitting problem for feature 36 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 37, Pyroglutamic.acid
2024-07-10 08:56:37 WARNING::Fitting problem for feature 37 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 38, Acetoacetic.acid
2024-07-10 08:56:37 WARNING::Fitting problem for feature 38 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 39, Niacinamide
2024-07-10 08:56:37 WARNING::Fitting problem for feature 39 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 40, Hypoxanthine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 40 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 41, Anserine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 41 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 42, trans.4.hydroxyproline
2024-07-10 08:56:37 WARNING::Fitting problem for feature 42 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 43, Creatine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 43 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 44, Glyceraldehyde
2024-07-10 08:56:37 WARNING::Fitting problem for feature 44 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 45, Glutamine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 45 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 46, NG.monomethyl.L.arginine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 46 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 47, Lysine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 47 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 48, Xanthosine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 48 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 49, Threonine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 49 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 50, Cysteamine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 50 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 51, Glucose
2024-07-10 08:56:37 WARNING::Fitting problem for feature 51 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 52, X1.methylhistamine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 52 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 53, Isoleucine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 53 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 54, Histamine
2024-07-10 08:56:37 WARNING::Fitting problem for feature 54 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 55, HomocysteineN
2024-07-10 08:56:37 WARNING::Fitting problem for feature 55 returning NA
2024-07-10 08:56:37 INFO::Fitting model to feature number 56, β.aminoisobutyric.acid
2024-07-10 08:56:37 WARNING::Fitting problem for feature 56 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 57, Argininosuccinate
2024-07-10 08:56:38 WARNING::Fitting problem for feature 57 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 58, Glycine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 58 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 59, X2.hydroxyglutarate
2024-07-10 08:56:38 WARNING::Fitting problem for feature 59 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 60, ADP
2024-07-10 08:56:38 WARNING::Fitting problem for feature 60 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 61, Oxaloacetate
2024-07-10 08:56:38 WARNING::Fitting problem for feature 61 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 62, Propyl.l.carnitine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 62 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 63, Inosine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 63 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 64, Lactate
2024-07-10 08:56:38 WARNING::Fitting problem for feature 64 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 65, Xanthurenate
2024-07-10 08:56:38 WARNING::Fitting problem for feature 65 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 66, Kynurenic.acid
2024-07-10 08:56:38 WARNING::Fitting problem for feature 66 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 67, Asparagine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 67 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 68, Glucose.6.phosphate
2024-07-10 08:56:38 WARNING::Fitting problem for feature 68 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 69, Succinate
2024-07-10 08:56:38 WARNING::Fitting problem for feature 69 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 70, Glutamate
2024-07-10 08:56:38 WARNING::Fitting problem for feature 70 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 71, Ureidopropionic.acid
2024-07-10 08:56:38 WARNING::Fitting problem for feature 71 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 72, Butyrlcarnitine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 72 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 73, Malonate
2024-07-10 08:56:38 WARNING::Fitting problem for feature 73 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 74, N.Acetyl.L.Alanine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 74 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 75, cAMP
2024-07-10 08:56:38 WARNING::Fitting problem for feature 75 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 76, Glyceraldehyde.3.phosphate
2024-07-10 08:56:38 WARNING::Fitting problem for feature 76 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 77, Proline
2024-07-10 08:56:38 WARNING::Fitting problem for feature 77 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 78, Thymidine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 78 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 79, Cysteine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 79 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 80, Arginine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 80 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 81, X2.methylacetoacetate
2024-07-10 08:56:38 WARNING::Fitting problem for feature 81 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 82, Tyrosine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 82 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 83, Serine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 83 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 84, Cytidine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 84 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 85, ADMA
2024-07-10 08:56:38 WARNING::Fitting problem for feature 85 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 86, Cystamine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 86 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 87, X4.hydroxyphenylacetate
2024-07-10 08:56:38 WARNING::Fitting problem for feature 87 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 88, Deoxycholic.Acid
2024-07-10 08:56:38 WARNING::Fitting problem for feature 88 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 89, X5.HIAA
2024-07-10 08:56:38 WARNING::Fitting problem for feature 89 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 90, Aspartate
2024-07-10 08:56:38 WARNING::Fitting problem for feature 90 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 91, X5.Aminolevulinic.Acid
2024-07-10 08:56:38 WARNING::Fitting problem for feature 91 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 92, L.Homoserine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 92 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 93, Kynurenine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 93 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 94, beta.Alanine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 94 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 95, Carnosine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 95 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 96, Carnitine
2024-07-10 08:56:38 WARNING::Fitting problem for feature 96 returning NA
2024-07-10 08:56:38 INFO::Fitting model to feature number 97, Ornithine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 97 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 98, Pyridoxine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 98 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 99, Biotin
2024-07-10 08:56:39 WARNING::Fitting problem for feature 99 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 100, Methionine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 100 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 101, Acetoacetic.Acid
2024-07-10 08:56:39 WARNING::Fitting problem for feature 101 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 102, Acetylcholine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 102 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 103, Adenosine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 103 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 104, D.erythrose.4.phosphate
2024-07-10 08:56:39 WARNING::Fitting problem for feature 104 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 105, Uridine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 105 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 106, Alanine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 106 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 107, Guanidoacetate
2024-07-10 08:56:39 WARNING::Fitting problem for feature 107 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 108, Thiamine.Pyrophosphate
2024-07-10 08:56:39 WARNING::Fitting problem for feature 108 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 109, N.acetylglutamine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 109 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 110, Thyroxine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 110 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 111, Choline
2024-07-10 08:56:39 WARNING::Fitting problem for feature 111 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 112, α.keto.δ.NG.NG.dimethylguanidino.valeric.acid
2024-07-10 08:56:39 WARNING::Fitting problem for feature 112 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 113, Acetylcarnitine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 113 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 114, Phenylalanine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 114 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 115, ATP
2024-07-10 08:56:39 WARNING::Fitting problem for feature 115 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 116, Tryptophan
2024-07-10 08:56:39 WARNING::Fitting problem for feature 116 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 117, X2.deoxycytidine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 117 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 118, Purine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 118 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 119, Valine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 119 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 120, Spermine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 120 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 121, Leucine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 121 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 122, X3.methyl.2.oxobutyrate
2024-07-10 08:56:39 WARNING::Fitting problem for feature 122 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 123, Cytosine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 123 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 124, Trimethylamine.N.oxide
2024-07-10 08:56:39 WARNING::Fitting problem for feature 124 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 125, X2.Methylbutyrylcarnitine
2024-07-10 08:56:39 WARNING::Fitting problem for feature 125 returning NA
2024-07-10 08:56:39 INFO::Fitting model to feature number 126, Citrulline
2024-07-10 08:56:39 WARNING::Fitting problem for feature 126 returning NA
2024-07-10 08:56:39 INFO::Counting total values for each feature
2024-07-10 08:56:39 INFO::Writing residuals to file Maaslin2_d3_lm_TSS_LOG/residuals.rds
2024-07-10 08:56:39 INFO::Writing fitted values to file Maaslin2_d3_lm_TSS_LOG/fitted.rds
2024-07-10 08:56:39 INFO::Writing extracted random effects to file Maaslin2_d3_lm_TSS_LOG/ranef.rds
2024-07-10 08:56:39 INFO::Writing all results to file (ordered by increasing q-values): Maaslin2_d3_lm_TSS_LOG/all_results.tsv
2024-07-10 08:56:39 INFO::Writing the significant results (those which are less than or equal to the threshold of 0.250000 ) to file (ordered by increasing q-values): Maaslin2_d3_lm_TSS_LOG/significant_results.tsv
2024-07-10 08:56:39 INFO::Writing heatmap of significant results to file: Maaslin2_d3_lm_TSS_LOG/heatmap.pdf
2024-07-10 08:56:39 INFO::Writing association plots (one for each significant association) to output folder: Maaslin2_d3_lm_TSS_LOG
