Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
QC-11	Extraction	methanol		QC-11	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	QC-11	FILES/RAW_FILES/GCMS/QC-11.D	Data transformation	QC-11		Metabolite identification	QC-11	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
QC-12	Extraction	methanol		QC-12	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	QC-12	FILES/RAW_FILES/GCMS/QC-12.D	Data transformation	QC-12		Metabolite identification	QC-12	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
QC-13	Extraction	methanol		QC-13	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	QC-13	FILES/RAW_FILES/GCMS/QC-13.D	Data transformation	QC-13		Metabolite identification	QC-13	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-1	Extraction	methanol		NM-1	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-1	FILES/RAW_FILES/GCMS/NM-1.D	Data transformation	NM-1		Metabolite identification	NM-1	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-2	Extraction	methanol		NM-2	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-2	FILES/RAW_FILES/GCMS/NM-2.D	Data transformation	NM-2		Metabolite identification	NM-2	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-3	Extraction	methanol		NM-3	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-3	FILES/RAW_FILES/GCMS/NM-3.D	Data transformation	NM-3		Metabolite identification	NM-3	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-4	Extraction	methanol		NM-4	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-4	FILES/RAW_FILES/GCMS/NM-4.D	Data transformation	NM-4		Metabolite identification	NM-4	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-5	Extraction	methanol		NM-5	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-5	FILES/RAW_FILES/GCMS/NM-5.D	Data transformation	NM-5		Metabolite identification	NM-5	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-6	Extraction	methanol		NM-6	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-6	FILES/RAW_FILES/GCMS/NM-6.D	Data transformation	NM-6		Metabolite identification	NM-6	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-7	Extraction	methanol		NM-7	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-7	FILES/RAW_FILES/GCMS/NM-7.D	Data transformation	NM-7		Metabolite identification	NM-7	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-8	Extraction	methanol		NM-8	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-8	FILES/RAW_FILES/GCMS/NM-8.D	Data transformation	NM-8		Metabolite identification	NM-8	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-9	Extraction	methanol		NM-9	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-9	FILES/RAW_FILES/GCMS/NM-9.D	Data transformation	NM-9		Metabolite identification	NM-9	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-10	Extraction	methanol		NM-10	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-10	FILES/RAW_FILES/GCMS/NM-10.D	Data transformation	NM-10		Metabolite identification	NM-10	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-11	Extraction	methanol		NM-11	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-11	FILES/RAW_FILES/GCMS/NM-11.D	Data transformation	NM-11		Metabolite identification	NM-11	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-12	Extraction	methanol		NM-12	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-12	FILES/RAW_FILES/GCMS/NM-12.D	Data transformation	NM-12		Metabolite identification	NM-12	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-13	Extraction	methanol		NM-13	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-13	FILES/RAW_FILES/GCMS/NM-13.D	Data transformation	NM-13		Metabolite identification	NM-13	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-14	Extraction	methanol		NM-14	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-14	FILES/RAW_FILES/GCMS/NM-14.D	Data transformation	NM-14		Metabolite identification	NM-14	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-15	Extraction	methanol		NM-15	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-15	FILES/RAW_FILES/GCMS/NM-15.D	Data transformation	NM-15		Metabolite identification	NM-15	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-16	Extraction	methanol		NM-16	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-16	FILES/RAW_FILES/GCMS/NM-16.D	Data transformation	NM-16		Metabolite identification	NM-16	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-17	Extraction	methanol		NM-17	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-17	FILES/RAW_FILES/GCMS/NM-17.D	Data transformation	NM-17		Metabolite identification	NM-17	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-18	Extraction	methanol		NM-18	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-18	FILES/RAW_FILES/GCMS/NM-18.D	Data transformation	NM-18		Metabolite identification	NM-18	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-19	Extraction	methanol		NM-19	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-19	FILES/RAW_FILES/GCMS/NM-19.D	Data transformation	NM-19		Metabolite identification	NM-19	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-20	Extraction	methanol		NM-20	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-20	FILES/RAW_FILES/GCMS/NM-20.D	Data transformation	NM-20		Metabolite identification	NM-20	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-21	Extraction	methanol		NM-21	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-21	FILES/RAW_FILES/GCMS/NM-21.D	Data transformation	NM-21		Metabolite identification	NM-21	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-22	Extraction	methanol		NM-22	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-22	FILES/RAW_FILES/GCMS/NM-22.D	Data transformation	NM-22		Metabolite identification	NM-22	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-23	Extraction	methanol		NM-23	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-23	FILES/RAW_FILES/GCMS/NM-23.D	Data transformation	NM-23		Metabolite identification	NM-23	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
NM-24	Extraction	methanol		NM-24	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	NM-24	FILES/RAW_FILES/GCMS/NM-24.D	Data transformation	NM-24		Metabolite identification	NM-24	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
PD-1	Extraction	methanol		PD-1	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	PD-1	FILES/RAW_FILES/GCMS/PD-1.D	Data transformation	PD-1		Metabolite identification	PD-1	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
PD-2	Extraction	methanol		PD-2	Chromatography	Agilent 7890A GC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000922		DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)	low polarity						Mass spectrometry	positive	50-500	Agilent 5977B MSD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_001013	electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	PD-2	FILES/RAW_FILES/GCMS/PD-2.D	Data transformation	PD-2		Metabolite identification	PD-2	m_MTBLS8183_GC-MS_positive__metabolite_profiling_v2_maf.tsv
