Timestamp,Your Name (English or Mandarin OK),"Paper Citation (citation format, as sent to you)",PMID (if applicable),"Is this an original study of heart failure, and not a review paper, clinical device study, or protocol paper?
",Is this a study of human adults? ,"How is heart failure defined in the study? 

Possible answers include medical chart review, EKG, NYHA I-III, or did not specify. ",Country of Study Population ,"Does this study include an untargeted metabolomics measure? For example, LCMS, GCMS, NMR.

If no, select ""No"" then skip the rest of this form, and click submit. ",What type of metabolomics is included in this study,What type of sample is used for metabolomics in this study?,"Does this study measure, or sequence, the microbiome?","If it did measure the microbiome, please briefly provide the body site samples and sequencing method (eg, 16S stool)","Is the metabolomics data from this study publicly available? 

In the data availability statement, it should say if the data was uploaded to a general repository or national library. If it says ""data available upon request"", select no. ","Please copy and paste the data availability statement from the paper here. (Response might be ""No statement"")
","Representativeness of the exposed cohort
Does the study cohort represent heart failure patients in the real world? In other words, was sampling unbiased?
Select 0 or 1:
","Selection of the non-exposed cohort
Basically, are the controls recruited via the same method as those who had heart failure?
Select 0 or 1:
","Ascertainment of exposure
Enter 0 or 1:
Is there an unbiased/biological measure of the exposure? For us, exposure is heart failure status. ","Ascertainment of exposure done prospectively or retrospectively
Enter 0 or 1:
Are patients recruited retrospectively (after heart failure) or prospectively (before heart failure)?","Adjustment for confounding (rendering comparability of cohorts on the basis of the design or analysis)
Add points: Minimum 0, Maximum 2
Does the study mention that smoking, diabetes, or other confounding variables are the same across groups? Or do they use age- and smoking-matched controls? ","Assessment of outcome
Our outcome here is the details of the metabolomics.
Enter 0 or 1:",Do you have other comments or things you want me to know on this paper? ,"What is the number of participants in each condition in this study?

Only need to answer if this is a heart failure study in human adults with metabolomics measures. 

For examine,  HF n = 25; healthy control n = 22"
4/17/2024 16:31:10,EW,Biotechnol Bioeng. 1999 Jan 5;62(1):87-96.,10099516,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 16:20:33,Yi-Chan Lee,Biotechnol Bioeng. 1999 Jan 5;62(1):87-96.,10099516,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:29:25,EW,"Am Fam Physician. 1999 Jun;59(11):3093-102, 3107-8.",10392592,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 16:19:06,Yi-Chan Lee,"Am Fam Physician. 1999 Jun;59(11):3093-102, 3107-8.",10392592,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:28:18,EW,Am Heart J. 1999 Nov;138(5 Pt 2):S479-83. doi: 10.1016/s0002-8703(99)70280-2.,10539853,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:27:08,EW,J Clin Invest. 2000 Sep;106(6):R59-67. doi: 10.1172/jci10763.,10995794,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 16:01:51,Yi-Chan Lee,J Clin Invest. 2000 Sep;106(6):R59-67. doi: 10.1172/jci10763.,10995794,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:25:50,EW,Swiss Med Wkly. 2001 Jan 27;131(3-4):35-40. doi: 10.4414/smw.2001.05883.,11219189,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:42:11,Jack,Swiss Med Wkly. 2001 Jan 27;131(3-4):35-40. doi: 10.4414/smw.2001.05883.,11219189,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:26:27,EW,Scand J Infect Dis. 2001;33(3):188-93. doi: 10.1080/00365540151060806.,11303808,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 16:00:06,Yi-Chan Lee,Scand J Infect Dis. 2001;33(3):188-93. doi: 10.1080/00365540151060806.,11303808,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:24:52,EW,Thorac Cardiovasc Surg. 2001 Oct;49(5):273-8. doi: 10.1055/s-2001-17803.,11605136,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:40:53,Jack,Thorac Cardiovasc Surg. 2001 Oct;49(5):273-8. doi: 10.1055/s-2001-17803.,11605136,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:24:07,EW,Clin Pharmacol Ther. 2002 May;71(5):325-33. doi: 10.1067/mcp.2002.122526.,12011818,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:36:41,Jack,Clin Pharmacol Ther. 2002 May;71(5):325-33. doi: 10.1067/mcp.2002.122526.,12011818,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:23:29,EW,Clin Infect Dis. 2002 Jul 15;35(2):130-9. doi: 10.1086/341024. Epub 2002 Jun 24.,12087518,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:35:36,Jack,Clin Infect Dis. 2002 Jul 15;35(2):130-9. doi: 10.1086/341024. Epub 2002 Jun 24.,12087518,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:22:53,EW,Immunol Allergy Clin North Am. 2003 Feb;23(1):117-32. doi: 10.1016/s0889-8561(02)00077-2.,12645882,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:33:01,Jack,Immunol Allergy Clin North Am. 2003 Feb;23(1):117-32. doi: 10.1016/s0889-8561(02)00077-2.,12645882,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:21:46,EW,Nat Med. 2003 Dec;9(12):1484-90. doi: 10.1038/nm960. Epub 2003 Nov 16.,14625544,"Yes, study of heart failure.","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:32:17,Jack,Nat Med. 2003 Dec;9(12):1484-90. doi: 10.1038/nm960. Epub 2003 Nov 16.,14625544,"Yes, study of heart failure.","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:19:54,EW,Int J Antimicrob Agents. 2004 Feb;23(2):120-8. doi: 10.1016/j.ijantimicag.2003.06.006.,15013036,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:29:58,Jack,Int J Antimicrob Agents. 2004 Feb;23(2):120-8. doi: 10.1016/j.ijantimicag.2003.06.006.,15013036,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:19:01,EW,Presse Med. 2004 Feb 28;33(4):256-61; discussion 269. doi: 10.1016/s0755-4982(04)98551-x.,15029017,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:28:53,Jack,Presse Med. 2004 Feb 28;33(4):256-61; discussion 269. doi: 10.1016/s0755-4982(04)98551-x.,15029017,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:20:58,EW,Am J Cardiovasc Drugs. 2004;4(3):169-77. doi: 10.2165/00129784-200404030-00004.,15134469,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:30:57,Jack,Am J Cardiovasc Drugs. 2004;4(3):169-77. doi: 10.2165/00129784-200404030-00004.,15134469,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:18:16,EW,Korean J Intern Med. 2004 Jun;19(2):104-8. doi: 10.3904/kjim.2004.19.2.104.,15366641,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:28:24,Jack,Korean J Intern Med. 2004 Jun;19(2):104-8. doi: 10.3904/kjim.2004.19.2.104.,15366641,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:17:28,EW,Ann Med. 2005;37(2):74-85. doi: 10.1080/07853890510007232.,16026115,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:26:49,Jack,Ann Med. 2005;37(2):74-85. doi: 10.1080/07853890510007232.,16026115,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:15:35,EW,Appl Microbiol Biotechnol. 2005 Nov;69(2):126-32. doi: 10.1007/s00253-005-0159-7. Epub 2005 Nov 12.,16211381,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:25:07,Jack,Appl Microbiol Biotechnol. 2005 Nov;69(2):126-32. doi: 10.1007/s00253-005-0159-7. Epub 2005 Nov 12.,16211381,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:16:26,EW,Int J Immunopathol Pharmacol. 2005 Oct-Dec;18(4):655-60. doi: 10.1177/039463200501800406.,16388712,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:26:13,Jack,Int J Immunopathol Pharmacol. 2005 Oct-Dec;18(4):655-60. doi: 10.1177/039463200501800406.,16388712,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:14:20,EW,Microbes Infect. 2006 Mar;8(3):598-603. doi: 10.1016/j.micinf.2005.08.009. Epub 2005 Dec 27.,16427798,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:23:20,Jack,Microbes Infect. 2006 Mar;8(3):598-603. doi: 10.1016/j.micinf.2005.08.009. Epub 2005 Dec 27.,16427798,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:13:20,EW,Eur Heart J. 2006 Jul;27(13):1565-70. doi: 10.1093/eurheartj/ehl081. Epub 2006 Jun 8.,16762985,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:20:28,Jack,Eur Heart J. 2006 Jul;27(13):1565-70. doi: 10.1093/eurheartj/ehl081. Epub 2006 Jun 8.,16762985,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:12:35,EW,Lancet. 2006 Jul 8;368(9530):157-69. doi: 10.1016/S0140-6736(06)69005-3.,16829300,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:17:29,Jack,Lancet. 2006 Jul 8;368(9530):157-69. doi: 10.1016/S0140-6736(06)69005-3.,16829300,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:14:59,EW,Curr Pharm Des. 2006;12(21):2673-88. doi: 10.2174/138161206777698783.,16842166,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:24:11,Jack,Curr Pharm Des. 2006;12(21):2673-88. doi: 10.2174/138161206777698783.,16842166,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:10:15,EW,Int J Cardiol. 2006 Sep 10;112(1):40-5. doi: 10.1016/j.ijcard.2006.05.015. Epub 2006 Aug 8.,16893578,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:15:18,Jack,Int J Cardiol. 2006 Sep 10;112(1):40-5. doi: 10.1016/j.ijcard.2006.05.015. Epub 2006 Aug 8.,16893578,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:10:54,EW,Microbes Infect. 2006 Aug;8(9-10):2459-64. doi: 10.1016/j.micinf.2006.06.006. Epub 2006 Jul 18.,16963301,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:16:53,Jack,Microbes Infect. 2006 Aug;8(9-10):2459-64. doi: 10.1016/j.micinf.2006.06.006. Epub 2006 Jul 18.,16963301,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:09:21,EW,Blood Purif. 2007;25(1):106-11. doi: 10.1159/000096406. Epub 2006 Dec 14.,17170546,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:14:26,Jack,Blood Purif. 2007;25(1):106-11. doi: 10.1159/000096406. Epub 2006 Dec 14.,17170546,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:08:27,EW,Indian J Med Res. 2007 Feb;125(2):129-36.,17431281,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:12:52,Jack,Indian J Med Res. 2007 Feb;125(2):129-36.,17431281,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:05:27,EW,J Acquir Immune Defic Syndr. 2007 Aug 1;45(4):411-7. doi: 10.1097/QAI.0b013e318074f008.,17554216,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:08:11,Jack,J Acquir Immune Defic Syndr. 2007 Aug 1;45(4):411-7. doi: 10.1097/QAI.0b013e318074f008.,17554216,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:04:48,EW,Microbes Infect. 2008 Jan;10(1):29-37. doi: 10.1016/j.micinf.2007.09.015. Epub 2007 Oct 2.,18078776,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
