raw_pval,metabolite,studyID,adj_pval_fdr,pathway,functional description,other notes
5.17E-11,Tetracosanoic acid,D1,2.90E-08,diet,"Tetracosanoic acid is a C24 straight-chain saturated fatty acid. It has a role as a volatile oil component, a plant metabolite, a human metabolite and a Daphnia tenebrosa metabolite. It is a very long-chain fatty acid and a straight-chain saturated fatty acid. It is a conjugate acid of a tetracosanoate.",
2.35E-05,Trimethylamine-N-oxide,D3,0.00296,diet,TMAO; associated w poor health across outcomes,
2.90E-05,4-methylcatechol,D1,0.01628,diet,"in coffee and meat; phenol, generally more is bad
4-methylcatechol is a methylcatechol having a single methyl substituent at the 4-position. It has been isolated from Picea abies. It has a role as a hapten, a carcinogenic agent, an antioxidant, a human metabolite and a plant metabolite.",
1.24E-06,Tetracosane,D1,0.00070,diet, It has a role as a plant metabolite and a volatile oil component.,
0.0003309999337,Propyl-l-carnitine,D3,0.04171,energy metabolism,"associated w heart health, colloqially people take supplements when they have chest pain, but IDK if that is doctor recommended",
3.01E-12,Pyrophosphate,D1,1.69E-09,energy metabolism,seems to be involved in energy metabolism but also in mineralization? difficult to tell,
4.42E-05,Hexuronic acid,D1,0.02481,energy metabolism,seems connected to heart health in the literature but not concise; lactonic derivative of hexuronic acid and corresponds to an oxidized form of glucose.,
1.87E-06,Myo-inositol phosphate,D1,0.00105,energy metabolism ,"The compound is a carbohydrate, specifically a sugar alcohol (as distinct from aldoses like glucose) with half the sweetness of sucrose (table sugar). It is one of the most ancient components of living beings with multiple functions in eukaryotes, including structural lipids and secondary messengers.[3] A human kidney makes about two grams per day from glucose, but other tissues synthesize it too. The highest concentration is in the brain, where it plays an important role in making other neurotransmitters and some steroid hormones bind to their receptors.[4] In other tissues, it mediates cell signal transduction in response to a variety of hormones, neurotransmitters, and growth factors and participates in osmoregulation.[5] In most mammalian cells the concentrations of myo-inositol are 5 to 500 times greater inside cells than outside them.[6] ",
8.35E-06,L-cysteine-glycine,D1,0.00469,glutathione,"L-cysteinylglycine is a dipeptide consisting of glycine having an L-cysteinyl attached to its alpha-amino group. It is an intermediate metabolite in glutathione metabolism. It has a role as a human metabolite, a Saccharomyces cerevisiae metabolite and an Escherichia coli metabolite. It is",
1.96E-06,Lanosterol,D1,0.00110,medicine,a tetracyclic triterpenoid and is the compound from which all animal and fungal steroids are derived,
8.15E-07,Tranexamic acid,D1,0.00046,medicine,"Tranexamic acid is a medication used to treat or prevent excessive blood loss from major trauma, postpartum bleeding, surgery, tooth removal, nosebleeds, and heavy menstruation.[6][7] It is also used for hereditary angioedema.[6][2] It is taken either by mouth, injection into a vein.[6], or by intramuscular injection. ",
4.07E-05,Dodecanedioic acid,D1,0.02283,medicine,can be used as an antiseptic commercially. In type 2 diabetic patients DDDA demonstrated that IV infusion helps to maintain normal blood sugar and energy levels without increasing the blood glucose load in the pr,
2.19E-07,Dodecanol,D1,0.00012,medicine,"from coconut/palm oil; industrially turned into surfectants, used in all shampoos too",
1.30E-06,Hydroquinone,D1,0.00073,medicine,another aromatic phenol; common in medicines as a reducing compound,
1.80E-05,1-monopalmitin,D1,0.01010,monoacylglycerols,"can inhibit cell proliferation in vitro in a bad way?
common in plant based oils. possibly antimicrobial","https://pubmed.ncbi.nlm.nih.gov/37466199/
https://www.nature.com/articles/s41598-018-37572-w"
3.83E-07,Arabinofuranose,D1,0.00021,monosaccharide,"arabinose is an inhibitor of sucrase, the enzyme that breaks down sucrose into glucose and fructose in the small intestine",
6.31E-06,"2-amino-7,10-dimethyldibenzo[b,f][1,4]oxazepin-11(10h)-one",D1,0.00354,NA,??,
1.22E-12,Diethylcarbamic acid,D1,0.00000,NA,"Because of its high toxicity and its carcinogenic properties shown in animal experiments and presumably also in humans,[1] dimethylcarbamoyl chloride can only be used under stringent safety precautions. ",
9.16E-06,Digitoxose,D1,0.00514,NA,"exists in many small molecule products, seems a bit nonspecific",
1.52E-06,"N-[(pentafluorophenyl)methylene]-alpha,4-dihydroxy-benzeneethanamine",D1,0.00085,NA,not much known on this one,
1.23E-08,"Propane-1,3-diol",D1,0.0000069,NA," is mainly used as a building block in the production of polymers such as polytrimethylene terephthalate, which looks to be a patented thing for carpets? like an adhesive. so maybe a misclassification here?",
1.59E-06,2-deoxycytidine,D3,0.00020,nucleoside,"a dna precursor (dna demethylation), can be a biomarker of breast cancer in urine analysis, evidently, high levels = more liklihood of cancer",https://pubs.acs.org/doi/10.1021/acs.analchem.7b04755
4.67E-05,Adenosine,D3,0.00588,nucleoside,,
1.90E-06,Cytidine,D3,0.00024,nucleoside,related to cytosine,
1.59E-06,Cytosine,D3,0.00020,nucleoside,,
0.00029572791,Thymidine,D3,0.03726,nucleoside,,
3.30E-05,Thymidine,D1,0.01850,nucleoside,,
7.87E-05,Uridine,D3,0.00992,nucleoside,"Uridine is a ribonucleoside composed of a molecule of uracil attached to a ribofuranose moiety via a beta-N(1)-glycosidic bond. It has a role as a human metabolite, a fundamental metabolite and a drug metabolite. It is functionally related to a uracil.",
3.80E-13,Arachidic acid,D1,2.13E-10,saturated fatty acid ,,
2.19E-07,"3-(4-hydroxyphenyl)-1,1,3-trimethylindan-5-ol",D1,0.00012,SCFA pathway,It has a role as a plant metabolite. It is functionally related to a propionic acid. It is a conjugate acid of a phloretate.,
1.52E-05,Thyroxine,D3,0.00192,thyroid,"oxine, a major endogenous hormone secreted by the thyroid gland.ult, many cardiac functions including heart rate, cardiac output, and systemic vascular resistance are closely linked to thyroid status. 
close ties to heart health",
1.31E-05,Citrulline,D3,0.00165,urea,ulline is an amino acid. It is made from ornithine and carbamoyl phosphate in one of the central reactions in the urea cycle. It is also produced from arginine as a by-product of the reaction catalyzed by NOS family,
0.0002638968086,Guanidoacetate,D3,0.03325,urea,"Glycocyamine is formed in the mammalian organism primarily in the kidneys by transferring the guanidine group of L-arginine by the enzyme L-Arg:Gly-amidinotransferase (AGAT) to the amino acid glycine. From L-arginine, ornithine is thus produced, which is metabolized in the urea cycle by carbamoylation to citrulline. ",
6.59E-07,N-carbamoylaspartate,D1,0.00037,urea,glutamite intermediate; associated with reduced body weight,
3.74E-06,N-carbomyl-aspartate,D3,0.00047,urea,,
6.59E-07,Putrescine,D1,0.00037,urea,Putrescine is synthesized in small quantities by healthy living cells by the action of ornithine decarboxylase. ,
0.0001652746759,Ureidopropionic-acid,D3,0.02082,urea,"3-Ureidopropionic acid, also called N-carbamoyl-beta-alanine, is an intermediate in the metabolism of uracil. It is a urea derivative of beta-alanine. ",
1.53E-07,Riboflavin-5-MonoPhosphate,D3,0.00002,Vit B,vit b2,
4.67E-05,Biotin,D3,0.00588,Vit B,VitaminB,
2.90E-05,"3,4-dihydroxyphenylacetic acid (DOPAC)",D1,0.01628,NA,metabolite of dopamine; can be oxidized by hydrogren peroxide ; also catechols / phenol,
