PubMed Search: https://pubmed.ncbi.nlm.nih.gov/?term=%28%28metabolomics%29+OR+%28metabolite%29+OR+%28metabolic+%29+OR+%28LCMS%29+or+%28LC-MS%29+OR+%28liquid+chromatography+mass+spectrometry%29+OR+%28GC-MS%29+OR+%28GCMS%29+OR+%28gas+chromatography+mass+spectrometry%29+OR+%28NMR%29+OR+%28Nuclear+magnetic+resonance+spectroscopy%29+%29+AND+%28%28Heart+failure+with+preserved+ejection+fraction%29+OR+%28heart+failure%29+OR+%28cardiac+infarction%29+OR+%28heart+arrest%29+OR+%28heart+attack%29%29+AND+%28%28human%29+OR+%28person%29+OR+%28patient%29+OR+%28patients%29+OR+%28Homo+sapiens%29%29+AND+%28%28microbe%29+OR+%28microbiome%29+OR+%28microbial%29+OR+%28microbially%29+OR+%28microbiota%29+OR+%28gut+dysbiosis%29+OR+%28microbes%29+OR+%28holobiont%29%29&sort=pubdate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMID,Title,Authors,Citation,First Author,Journal/Book,"Pub
Year",Create Date,PMCID,NIHMS ID,DOI,"Reviewer 
1",Assigned?,Completed?,"Reviewer
2",Assigned?,Completed?,Consensus?,,,,,,,,,,,,"Newcastle-Ottowa Score
https://www.ohri.ca/programs/clinical_epidemiology/nosgen.pdf"
38278463,Association between dietary patterns and cardiovascular diseases: A review,"Lu L, Jing W, Qian W, Fan L, Cheng J.",Curr Probl Cardiol. 2024 Mar;49(3):102412. doi: 10.1016/j.cpcardiol.2024.102412. Epub 2024 Jan 24.,Lu L,Curr Probl Cardiol,2024,2024/01/26,,,10.1016/j.cpcardiol.2024.102412,,Yes,Yes,,,,,,,,,,,,,,,,
38233317,"Clinical chorioamnionitis at term: definition, pathogenesis, microbiology, diagnosis, and treatment","Jung E, Romero R, Suksai M, Gotsch F, Chaemsaithong P, Erez O, Conde-Agudelo A, Gomez-Lopez N, Berry SM, Meyyazhagan A, Yoon BH.",Am J Obstet Gynecol. 2024 Mar;230(3S):S807-S840. doi: 10.1016/j.ajog.2023.02.002. Epub 2023 Mar 21.,Jung E,Am J Obstet Gynecol,2024,2024/01/17,,,10.1016/j.ajog.2023.02.002,,Yes,Yes,,,,,,,,,,,,,,,,
37802162,Recent advances on the Role of Gut Microbiota in the Development of Heart Failure by Mediating Immune Metabolism,"Huang YJ, Ferrari MW, Lin S, Wang ZH.",Curr Probl Cardiol. 2024 Mar;49(3):102128. doi: 10.1016/j.cpcardiol.2023.102128. Epub 2023 Oct 5.,Huang YJ,Curr Probl Cardiol,2024,2023/10/06,,,10.1016/j.cpcardiol.2023.102128,,Yes,Yes,,,,,,,,,,,,,,,,
38384514,Research development on gut microbiota and vulnerable atherosclerotic plaque,"Zheng S, Liu Z, Liu H, Lim JY, Li DWH, Zhang S, Luo F, Wang X, Sun C, Tang R, Zheng W, Xie Q.",Heliyon. 2024 Feb 8;10(4):e25186. doi: 10.1016/j.heliyon.2024.e25186. eCollection 2024 Feb 29.,Zheng S,Heliyon,2024,2024/02/22,PMC10878880,,10.1016/j.heliyon.2024.e25186,,Yes,Yes,,,,,,,,,,,,,,,,
38383052,Parenteral nutrition-associated liver injury: clinical relevance and mechanistic insights,"Mihajlovic M, Rosseel Z, de Waele E, Vinken M.",Toxicol Sci. 2024 Feb 21:kfae020. doi: 10.1093/toxsci/kfae020. Online ahead of print.,Mihajlovic M,Toxicol Sci,2024,2024/02/21,,,10.1093/toxsci/kfae020,,Yes,Yes,,,,,,,,,,,,,,,,
38415449,"Evaluation of Urolithin A Efficacy in Heart Failure Patients with Reduced Ejection Fraction: A Randomized, Double-blind, Crossover, Placebo-controlled Clinical Trial","Jamialahmadi T, Hasanpour M, Vakilian F, Penson PE, Iranshahy M, Sahebkar A.",Rev Recent Clin Trials. 2024 Feb 20. doi: 10.2174/0115748871279354240209101604. Online ahead of print.,Jamialahmadi T,Rev Recent Clin Trials,2024,2024/02/28,,,10.2174/0115748871279354240209101604,,No,,,,,,,,,,,,,,,,,
38415052,Potential Association of the Oral Microbiome with Trimethylamine N-Oxide Quantification in Mexican Patients with Myocardial Infarction,"Hernández-Ruiz P, Escalona Montaño AR, Amezcua-Guerra LM, González-Pacheco H, Niccolai E, Amedei A, Aguirre-García MM.",Mediators Inflamm. 2024 Feb 20;2024:3985731. doi: 10.1155/2024/3985731. eCollection 2024.,Hernández-Ruiz P,Mediators Inflamm,2024,2024/02/28,PMC10898950,,10.1155/2024/3985731,,Yes,Yes,,,,,,,,,,,,,,,,
38104813,Causal effect of air pollution on the risk of cardiovascular and metabolic diseases and potential mediation by gut microbiota,"Liu CX, Liu YB, Peng Y, Peng J, Ma QL.",Sci Total Environ. 2024 Feb 20;912:169418. doi: 10.1016/j.scitotenv.2023.169418. Epub 2023 Dec 15.,Liu CX,Sci Total Environ,2024,2023/12/17,,,10.1016/j.scitotenv.2023.169418,,Yes,Yes,,,,,,,,,,,,,,,,
38359099,From Gut to Heart: Role of Indole-3-Propionic Acid in HFpEF,"Vacca A, Schiattarella GG.",Circ Res. 2024 Feb 16;134(4):390-392. doi: 10.1161/CIRCRESAHA.123.323947. Epub 2024 Feb 15.,Vacca A,Circ Res,2024,2024/02/15,,,10.1161/CIRCRESAHA.123.323947,,Yes,Yes,,,,,,,,,,,,,,,,
38264909,Indole-3-Propionic Acid Protects Against Heart Failure With Preserved Ejection Fraction,"Wang YC, Koay YC, Pan C, Zhou Z, Tang W, Wilcox J, Li XS, Zagouras A, Marques F, Allayee H, Rey FE, Kaye DM, O'Sullivan JF, Hazen SL, Cao Y, Lusis AJ.",Circ Res. 2024 Feb 16;134(4):371-389. doi: 10.1161/CIRCRESAHA.123.322381. Epub 2024 Jan 24.,Wang YC,Circ Res,2024,2024/01/24,PMC10923103,NIHMS1960187,10.1161/CIRCRESAHA.123.322381,,Yes,Yes,,,,,,,,,,,,,,,,
38331891,Microbial-derived imidazole propionate links the heart failure-associated microbiome alterations to disease severity,"Raju SC, Molinaro A, Awoyemi A, Jørgensen SF, Braadland PR, Nendl A, Seljeflot I, Ueland PM, McCann A, Aukrust P, Vestad B, Mayerhofer C, Broch K, Gullestad L, Lappegård KT, Halvorsen B, Kristiansen K, Hov JR, Trøseid M.",Genome Med. 2024 Feb 8;16(1):27. doi: 10.1186/s13073-024-01296-6.,Raju SC,Genome Med,2024,2024/02/08,PMC10854170,,10.1186/s13073-024-01296-6,,Yes,Yes,,,,,,,,,,,,,,,,
38399558,The Role of Gut Microbiota and the Potential Effects of Probiotics in Heart Failure,"Petruzziello C, Saviano A, Manetti LL, Macerola N, Ojetti V.",Medicina (Kaunas). 2024 Feb 4;60(2):271. doi: 10.3390/medicina60020271.,Petruzziello C,Medicina (Kaunas),2024,2024/02/24,PMC10890346,,10.3390/medicina60020271,,Yes,Yes,,,,,,,,,,,,,,,,
38358030,Unravelling the gut hypothesis of heart failure with gut microbiota-derived metabolites,Kok WE.,Eur J Heart Fail. 2024 Feb;26(2):242-244. doi: 10.1002/ejhf.3164. Epub 2024 Feb 15.,Kok WE,Eur J Heart Fail,2024,2024/02/15,,,10.1002/ejhf.3164,,Yes,Yes,,,,,,,,,,,,,,,,
38124458,Prognostic value of gut microbe-generated metabolite phenylacetylglutamine in patients with heart failure,"Tang WHW, Nemet I, Li XS, Wu Y, Haghikia A, Witkowski M, Koeth RA, Demuth I, König M, Steinhagen-Thiessen E, Bäckhed F, Fischbach MA, Deb A, Landmesser U, Hazen SL.",Eur J Heart Fail. 2024 Feb;26(2):233-241. doi: 10.1002/ejhf.3111. Epub 2024 Jan 25.,Tang WHW,Eur J Heart Fail,2024,2023/12/21,,,10.1002/ejhf.3111,,Yes,Yes,,,,,,,,,,,,,,,,
35583582,Molecular Mechanism of Polysaccharides Extracted from Chinese Medicine Targeting Gut Microbiota for Promoting Health,"Zhao WX, Wang T, Zhang YN, Chen Q, Wang Y, Xing YQ, Zheng J, Duan CC, Chen LJ, Zhao HJ, Wang SJ.",Chin J Integr Med. 2024 Feb;30(2):171-180. doi: 10.1007/s11655-022-3522-y. Epub 2022 May 18.,Zhao WX,Chin J Integr Med,2024,2022/05/18,,,10.1007/s11655-022-3522-y,,Yes,Yes,,,,,,,,,,,,,,,,
38338995,Oral Cardiac Drug-Gut Microbiota Interaction in Chronic Heart Failure Patients: An Emerging Association,"Paraskevaidis I, Briasoulis A, Tsougos E.",Int J Mol Sci. 2024 Jan 31;25(3):1716. doi: 10.3390/ijms25031716.,Paraskevaidis I,Int J Mol Sci,2024,2024/02/10,PMC10855150,,10.3390/ijms25031716,,Yes,Yes,,,,,,,,,,,,,,,,
38343539,Role of the intestinal microbiome and its therapeutic intervention in cardiovascular disorder,"Luqman A, Hassan A, Ullah M, Naseem S, Ullah M, Zhang L, Din AU, Ullah K, Ahmad W, Wang G.",Front Immunol. 2024 Jan 26;15:1321395. doi: 10.3389/fimmu.2024.1321395. eCollection 2024.,Luqman A,Front Immunol,2024,2024/02/12,PMC10853344,,10.3389/fimmu.2024.1321395,,Yes,Yes,,,,,,,,,,,,,,,,
38275032,The Role of Gut Microbiota and Associated Compounds in Cardiovascular Health and its Therapeutic Implications,"Liu L, Kaur GI, Kumar A, Kanwal A, Singh SP.",Cardiovasc Hematol Agents Med Chem. 2024 Jan 24. doi: 10.2174/0118715257273506231208045308. Online ahead of print.,Liu L,Cardiovasc Hematol Agents Med Chem,2024,2024/01/26,,,10.2174/0118715257273506231208045308,,Yes,Yes,,,,,,,,,,,,,,,,
38244075,Therapeutic applications of gut microbes in cardiometabolic diseases: current state and perspectives,"Yuan L, Li Y, Chen M, Xue L, Wang J, Ding Y, Gu Q, Zhang J, Zhao H, Xie X, Wu Q.",Appl Microbiol Biotechnol. 2024 Jan 20;108(1):156. doi: 10.1007/s00253-024-13007-7.,Yuan L,Appl Microbiol Biotechnol,2024,2024/01/20,PMC10799778,,10.1007/s00253-024-13007-7,,Yes,Yes,,,,,,,,,,,,,,,,
38240984,Effects of Leishmania major infection on the gut microbiome of resistant and susceptible mice,"Mrázek J, Mrázková L, Mekadim C, Jarošíková T, Krayem I, Sohrabi Y, Demant P, Lipoldová M.",Appl Microbiol Biotechnol. 2024 Jan 19;108(1):145. doi: 10.1007/s00253-024-13002-y.,Mrázek J,Appl Microbiol Biotechnol,2024,2024/01/19,PMC10799115,,10.1007/s00253-024-13002-y,,Yes,Yes,,,,,,,,,,,,,,,,
38211561,"Navigating the B vitamins: Dietary diversity, microbial synthesis, and human health","Yang Y, Ke Y, Liu X, Zhang Z, Zhang R, Tian F, Zhi L, Zhao G, Lv B, Hua S, Wu H.",Cell Host Microbe. 2024 Jan 10;32(1):12-18. doi: 10.1016/j.chom.2023.12.004.,Yang Y,Cell Host Microbe,2024,2024/01/11,,,10.1016/j.chom.2023.12.004,,Yes,Yes,,,,,,,,,,,,,,,,
38314003,Critical Correlation Between Obesity and Cardiovascular Diseases and Recent Advancements in Obesity,"Pakhare M, Anjankar A.",Cureus. 2024 Jan 4;16(1):e51681. doi: 10.7759/cureus.51681. eCollection 2024 Jan.,Pakhare M,Cureus,2024,2024/02/05,PMC10838385,,10.7759/cureus.51681,,Yes,Yes,,,,,,,,,,,,,,,,
37983627,"Dengzhanshengmai capsule alleviates heart failure and concomitantly decreases phenylacetylglutamine level, interacting with the intestinal microflora in rats","Yi B, Zhang P, Chen J, Fang Z, Yang X, Yang D, Zang Q, Xu J, Ren T, Yang H, Guo N.",Microb Biotechnol. 2024 Jan;17(1):e14365. doi: 10.1111/1751-7915.14365. Epub 2023 Nov 20.,Yi B,Microb Biotechnol,2024,2023/11/20,PMC10832560,,10.1111/1751-7915.14365,,Yes,Yes,,,,,,,,,,,,,,,,
37882579,Landscape of gut microbiota and metabolites and their interaction in comorbid heart failure and depressive symptoms: a random forest analysis study,"Huang K, Duan J, Wang R, Ying H, Feng Q, Zhu B, Yang C, Yang L.",mSystems. 2023 Dec 21;8(6):e0051523. doi: 10.1128/msystems.00515-23. Epub 2023 Oct 26.,Huang K,mSystems,2023,2023/10/26,PMC10734515,,10.1128/msystems.00515-23,,Yes,Yes,,,,,,,,,,,,,,,,
38118419,Potential therapeutic implications of histidine catabolism by the gut microbiota in NAFLD patients with morbid obesity,"Quesada-Vázquez S, Castells-Nobau A, Latorre J, Oliveras-Cañellas N, Puig-Parnau I, Tejera N, Tobajas Y, Baudin J, Hildebrand F, Beraza N, Burcelin R, Martinez-Gili L, Chilloux J, Dumas ME, Federici M, Hoyles L, Caimari A, Del Bas JM, Escoté X, Fernández-Real JM, Mayneris-Perxachs J.",Cell Rep Med. 2023 Dec 19;4(12):101341. doi: 10.1016/j.xcrm.2023.101341.,Quesada-Vázquez S,Cell Rep Med,2023,2023/12/20,PMC10772641,,10.1016/j.xcrm.2023.101341,,Yes,Yes,,,,,,,,,,,,,,,,
38060843,The gut microbiome across the cardiovascular risk spectrum,"Prins FM, Collij V, Groot HE, Björk JR, Swarte JC, Andreu-Sánchez S, Jansen BH, Fu J, Harmsen HJM, Zhernakova A, Lipsic E, van der Harst P, Weersma RK, Gacesa R.",Eur J Prev Cardiol. 2023 Dec 7:zwad377. doi: 10.1093/eurjpc/zwad377. Online ahead of print.,Prins FM,Eur J Prev Cardiol,2023,2023/12/07,,,10.1093/eurjpc/zwad377,,Yes,Yes,,,,,,,,,,,,,,,,
37737730,"Insights into the associations between the gut microbiome, its metabolites, and heart failure","Ahmad AF, Caparrós-Martin JA, Gray N, Lodge S, Wist J, Lee S, O'Gara F, Shah A, Ward NC, Dwivedi G.",Am J Physiol Heart Circ Physiol. 2023 Dec 1;325(6):H1325-H1336. doi: 10.1152/ajpheart.00436.2023. Epub 2023 Sep 22.,Ahmad AF,Am J Physiol Heart Circ Physiol,2023,2023/09/22,,,10.1152/ajpheart.00436.2023,,Yes,Yes,,,,,,,,,,,,,,,,
37696191,"Fuzi decoction treats chronic heart failure by regulating the gut microbiota, increasing the short-chain fatty acid levels and improving metabolic disorders","Gao T, Zhang H, Li Q, Zhao F, Wang N, He W, Zhang J, Wang R.",J Pharm Biomed Anal. 2023 Nov 30;236:115693. doi: 10.1016/j.jpba.2023.115693. Epub 2023 Sep 4.,Gao T,J Pharm Biomed Anal,2023,2023/09/11,,,10.1016/j.jpba.2023.115693,,Yes,Yes,,,,,,,,,,,,,,,,
38074146,From heart failure and kidney dysfunction to cardiorenal syndrome: TMAO may be a bridge,"Zhang J, Zhu P, Li S, Gao Y, Xing Y.",Front Pharmacol. 2023 Nov 21;14:1291922. doi: 10.3389/fphar.2023.1291922. eCollection 2023.,Zhang J,Front Pharmacol,2023,2023/12/11,PMC10703173,,10.3389/fphar.2023.1291922,,Yes,Yes,,,,,,,,,,,,,,,,
37960774,The role of the gut microbiota and bile acids in heart failure: A review,"Shi M, Wei J, Yuan H, Li Y, Guo Z.",Medicine (Baltimore). 2023 Nov 10;102(45):e35795. doi: 10.1097/MD.0000000000035795.,Shi M,Medicine (Baltimore),2023,2023/11/14,PMC10637566,,10.1097/MD.0000000000035795,,Yes,Yes,,,,,,,,,,,,,,,,
37945565,Gut butyrate-producers confer post-infarction cardiac protection,"Chen HC, Liu YW, Chang KC, Wu YW, Chen YM, Chao YK, You MY, Lundy DJ, Lin CJ, Hsieh ML, Cheng YC, Prajnamitra RP, Lin PJ, Ruan SC, Chen DH, Shih ESC, Chen KW, Chang SS, Chang CMC, Puntney R, Moy AW, Cheng YY, Chien HY, Lee JJ, Wu DC, Hwang MJ, Coonen J, Hacker TA, Yen CE, Rey FE, Kamp TJ, Hsieh PCH.",Nat Commun. 2023 Nov 9;14(1):7249. doi: 10.1038/s41467-023-43167-5.,Chen HC,Nat Commun,2023,2023/11/09,PMC10636175,,10.1038/s41467-023-43167-5,,Yes,Yes,,,,,,,,,,,,,,,,
37632511,Targeting the Gut Microbiota in Kidney Disease: The Future in Renal Nutrition and Metabolism,"Lambert K, Rinninella E, Biruete A, Sumida K, Stanford J, Raoul P, Mele MC, Wang AY, Mafra D.",J Ren Nutr. 2023 Nov;33(6S):S30-S39. doi: 10.1053/j.jrn.2022.12.004. Epub 2023 Aug 25.,Lambert K,J Ren Nutr,2023,2023/08/26,PMC10872791,NIHMS1927997,10.1053/j.jrn.2022.12.004,,Yes,Yes,,,,,,,,,,,,,,,,
37433872,Administration of A. muciniphila ameliorates pulmonary arterial hypertension by targeting miR-208a-3p/NOVA1 axis,"Bao ZY, Li HM, Zhang SB, Fei YQ, Yao MF, Li LJ.",Acta Pharmacol Sin. 2023 Nov;44(11):2201-2215. doi: 10.1038/s41401-023-01126-2. Epub 2023 Jul 11.,Bao ZY,Acta Pharmacol Sin,2023,2023/07/11,PMC10618511,,10.1038/s41401-023-01126-2,,Yes,Yes,,,,,,,,,,,,,,,,
37903770,The therapeutic value of bifidobacteria in cardiovascular disease,"Tang J, Wei Y, Pi C, Zheng W, Zuo Y, Shi P, Chen J, Xiong L, Chen T, Liu H, Zhao Q, Yin S, Ren W, Cao P, Zeng N, Zhao L.",NPJ Biofilms Microbiomes. 2023 Oct 30;9(1):82. doi: 10.1038/s41522-023-00448-7.,Tang J,NPJ Biofilms Microbiomes,2023,2023/10/31,PMC10616273,,10.1038/s41522-023-00448-7,,Yes,Yes,,,,,,,,,,,,,,,,
37577236,Emerging Evidence Linking the Liver to the Cardiovascular System: Liver-derived Secretory Factors,"Liu X, Shao Y, Han L, Zhang R, Chen J.",J Clin Transl Hepatol. 2023 Oct 28;11(5):1246-1255. doi: 10.14218/JCTH.2022.00122. Epub 2023 May 12.,Liu X,J Clin Transl Hepatol,2023,2023/08/14,PMC10412704,,10.14218/JCTH.2022.00122,,Yes,Yes,,,,,,,,,,,,,,,,
37908354,Schistosomiasis-associated pulmonary hypertension unveils disrupted murine gut-lung microbiome and reduced endoprotective Caveolin-1/BMPR2 expression,"Marinho Y, Villarreal ES, Aboagye SY, Williams DL, Sun J, Silva CLM, Lutz SE, Oliveira SD.",Front Immunol. 2023 Oct 16;14:1254762. doi: 10.3389/fimmu.2023.1254762. eCollection 2023.,Marinho Y,Front Immunol,2023,2023/11/01,PMC10613683,,10.3389/fimmu.2023.1254762,,Yes,Yes,,,,,,,,,,,,,,,,
37920088,Exploring the Common Gene Signatures Between Myocardial Infarction-Reperfusion Injury and the Gut Microbiome Using Bioinformatics,"Jiang X, Li C, Xia X, Tong J, Cheng J, Li X.",Heart Surg Forum. 2023 Oct 15;26(5):E498-E511. doi: 10.59958/hsf.5775.,Jiang X,Heart Surg Forum,2023,2023/11/03,,,10.59958/hsf.5775,,Yes,Yes,,,,,,,,,,,,,,,,
37574027,Short and medium chain acylcarnitines as markers of outcome in diabetic and non-diabetic subjects with acute coronary syndromes,"Davies A, Wenzl FA, Li XS, Winzap P, Obeid S, Klingenberg R, Mach F, Räber L, Muller O, Matter CM, Laaksonen R, Wang Z, Hazen SL, Lüscher TF.",Int J Cardiol. 2023 Oct 15;389:131261. doi: 10.1016/j.ijcard.2023.131261. Epub 2023 Aug 11.,Davies A,Int J Cardiol,2023,2023/08/13,,,10.1016/j.ijcard.2023.131261,,Yes,Yes,,,,,,,,,,,,,,,,
37867899,Serological short-chain fatty acid and trimethylamine N-oxide microbial metabolite imbalances in young adults with acute myocardial infarction,"Avendaño-Ortiz J, Lorente-Ros Á, Briones-Figueroa A, Morán-Alvarez P, García-Fernández A, Garrote-Corral S, Amil-Casas I, Carrasco-Sayalero Á, Tejada-Velarde A, Camino-López A, Jiménez-Mena M, Del Campo R, Villalobos-Sánchez L, García-Villanueva MJ.",Heliyon. 2023 Oct 10;9(10):e20854. doi: 10.1016/j.heliyon.2023.e20854. eCollection 2023 Oct.,Avendaño-Ortiz J,Heliyon,2023,2023/10/23,PMC10589863,,10.1016/j.heliyon.2023.e20854,,Yes,Yes,,,,,,,,,,,,,,,,
37893086,The Modulation Effect of a Fermented Bee Pollen Postbiotic on Cardiovascular Microbiota and Therapeutic Perspectives,"Dinu LD, Gatea F, Roaming Israel F, Lakicevic M, Dedović N, Vamanu E.",Biomedicines. 2023 Oct 5;11(10):2712. doi: 10.3390/biomedicines11102712.,Dinu LD,Biomedicines,2023,2023/10/28,PMC10604238,,10.3390/biomedicines11102712,,Yes,Yes,,,,,,,,,,,,,,,,
37442759,Gut microbiota and microbiota-derived metabolites in cardiovascular diseases,"Chen X, Zhang H, Ren S, Ding Y, Remex NS, Bhuiyan MS, Qu J, Tang X.",Chin Med J (Engl). 2023 Oct 5;136(19):2269-2284. doi: 10.1097/CM9.0000000000002206.,Chen X,Chin Med J (Engl),2023,2023/07/13,PMC10538883,,10.1097/CM9.0000000000002206,,Yes,Yes,,,,,,,,,,,,,,,,
37245797,Gut-derived short-chain fatty acids bridge cardiac and systemic metabolism and immunity in heart failure,"Wang A, Li Z, Sun Z, Zhang D, Ma X.",J Nutr Biochem. 2023 Oct;120:109370. doi: 10.1016/j.jnutbio.2023.109370. Epub 2023 May 26.,Wang A,J Nutr Biochem,2023,2023/05/28,,,10.1016/j.jnutbio.2023.109370,,Yes,Yes,,,,,,,,,,,,,,,,
