https://www.webofscience.com/wos/woscc/summary/13c7b288-87b2-4c73-b7a3-f3e7c6ff4407-db620582/relevance/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Al Khodor, S; Reichert, B; Shatat, IF",,,,"Al Khodor, Souhaila; Reichert, Bernd; Shatat, Ibrahim F.",,,The Microbiome and Blood Pressure: Can Microbes Regulate Our Blood Pressure?,FRONTIERS IN PEDIATRICS,,,,,,,,,,,,,,,,,"Khodor, Souhaila Al/AAQ-6938-2020","Al Khodor, Souhaila/0000-0003-4858-7130",,,,,,,,,,,,,2296-2360,,,,,Jun 19,2017,5,,,,,,,,138,10.3389/fped.2017.00138,0,,,,,,,,28674682,,,,,WOS:000403749300001,0
J,"Kamo, T; Akazawa, H; Suzuki, J; Komuro, I",,,,"Kamo, Takehiro; Akazawa, Hiroshi; Suzuki, Jun-ichi; Komuro, Issei",,,Novel Concept of a Heart-Gut Axis in the Pathophysiology of Heart Failure,KOREAN CIRCULATION JOURNAL,,,,,,,,,,,,,,,,,"Akazawa, Hiroshi/AFN-9677-2022","Akazawa, Hiroshi/0000-0002-3574-9607",,,,,,,,,,,,,1738-5520,1738-5555,,,,SEP,2017,47,5,,,,,663,669,,10.4070/kcj.2017.0028,0,,,,,,,,28955383,,,,,WOS:000413842200004,0
J,"Yin, J; Liao, SX; He, Y; Wang, S; Xia, GH; Liu, FT; Zhu, JJ; You, C; Chen, Q; Zhou, L; Pan, SY; Zhou, HW",,,,"Yin, Jia; Liao, Shuo-Xi; He, Yan; Wang, Shan; Xia, Geng-Hong; Liu, Fei-Tong; Zhu, Jia-Jia; You, Chao; Chen, Qiong; Zhou, Liang; Pan, Su-Yue; Zhou, Hong-Wei",,,Dysbiosis of Gut Microbiota With Reduced Trimethylamine-N-Oxide Level in Patients With Large-Artery Atherosclerotic Stroke or Transient Ischemic Attack,JOURNAL OF THE AMERICAN HEART ASSOCIATION,,,,,,,,,,,,,,,,,"wang, xueting/JPY-2782-2023; Zhou, Hongwei/B-4193-2008","Pan, Suyue/0000-0003-2744-1984; He, Yan/0000-0002-6611-2959",,,,,,,,,,,,,2047-9980,,,,,NOV,2015,4,11,,,,,,,e002699,10.1161/JAHA.115.002699,0,,,,,,,,26597155,,,,,WOS:000366615600029,0
J,"Madan, S; Mehra, MR",,,,"Madan, Shivank; Mehra, Mandeep R.",,,Gut dysbiosis and heart failure: navigating the universe within,EUROPEAN JOURNAL OF HEART FAILURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1388-9842,1879-0844,,,,APR,2020,22,4,,,,,629,637,,10.1002/ejhf.1792,0,,,,,,,,32168550,,,,,WOS:000528930800009,0
J,"Cui, X; Ye, L; Li, J; Jin, L; Wang, WJ; Li, SY; Bao, MH; Wu, SL; Li, LF; Geng, B; Zhou, X; Zhang, J; Cai, J",,,,"Cui, Xiao; Ye, Lei; Li, Jing; Jin, Ling; Wang, Wenjie; Li, Shuangyue; Bao, Minghui; Wu, Shouling; Li, Lifeng; Geng, Bin; Zhou, Xin; Zhang, Jian; Cai, Jun",,,Metagenomic and metabolomic analyses unveil dysbiosis of gut microbiota in chronic heart failure patients,SCIENTIFIC REPORTS,,,,,,,,,,,,,,,,,"Zhou, Xin/AAH-7351-2019; zhang, xueying/JMB-7808-2023; Geng, Bin/ABB-6045-2020; Cai, Jun/GLS-4538-2022; li, jing/HNI-1304-2023","Zhou, Xin/0000-0003-1395-7103; Geng, Bin/0000-0001-7573-8710; li, jing/0000-0002-5102-4315; Li, Shuangyue/0000-0002-7843-8630; Jin, Ling/0000-0002-0687-9234; Li, Jing/0000-0001-9392-6600",,,,,,,,,,,,,2045-2322,,,,,Jan 12,2018,8,,,,,,,,635,10.1038/s41598-017-18756-2,0,,,,,,,,29330424,,,,,WOS:000419945400076,0
J,"Ahmad, AF; Ward, NC; Dwivedi, G",,,,"Ahmad, Adilah F.; Ward, Natalie C.; Dwivedi, Girish",,,The gut microbiome and heart failure,CURRENT OPINION IN CARDIOLOGY,,,,,,,,,,,,,,,,,,"Ward, Natalie/0000-0002-6042-437X; Ahmad, Adilah/0000-0002-2999-0875",,,,,,,,,,,,,0268-4705,1531-7080,,,,MAR,2019,34,2,,,,,225,232,,10.1097/HCO.0000000000000598,0,,,,,,,,30575647,,,,,WOS:000467450000017,0
J,"Lataro, RM; Imori, PFM; Santos, ES; Silva, LEV; Duarte, RTD; Silva, CAA; Falcao, JP; Paton, JFR; Salgado, HC",,,,"Lataro, Renata M.; Imori, Priscilla F. M.; Santos, Emerson S.; Silva, Luiz Eduardo, V; Duarte, Rubens T. D.; Silva, Carlos A. A.; Falcao, Juliana P.; Paton, Julian F. R.; Salgado, Hello C.",,,Heart failure developed after myocardial infarction does not affect gut microbiota composition in the rat,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,,,,,,,,,,,,,,,,,"Duarte, Rubens/AAH-1692-2019; Falcao, Juliana Pfrimer/E-9652-2012; Paton, Julian/AAM-2121-2020; Lataro, Renata Maria/K-3885-2017; Silva, Carlos/KBB-9784-2024; Silva, Luiz F./E-9749-2011","Falcao, Juliana Pfrimer/0000-0002-1459-9355; Lataro, Renata Maria/0000-0002-9183-3926; Duarte, Rubens/0000-0002-9939-3400; de Souza Santos, Emerson/0000-0002-3544-6745",,,,,,,,,,,,,0193-1857,1522-1547,,,,SEP,2019,317,3,,,,,G342,G348,,10.1152/ajpgi.00018.2019,0,,,,,,,,31314548,,,,,WOS:000483421800008,0
J,"Chen, X; Li, HY; Hu, XM; Zhang, Y; Zhang, SY",,,,"Chen, Xi; Li, Han-Yu; Hu, Xiao-Min; Zhang, Yan; Zhang, Shu-Yang",,,Current understanding of gut microbiota alterations and related therapeutic intervention strategies in heart failure,CHINESE MEDICAL JOURNAL,,,,,,,,,,,,,,,,,"Zhang, Shiwei/JIY-4344-2023; Hu, Xiaomin/GRY-1539-2022; Yang, Shu/JUU-4592-2023; lu, kai/KBB-4008-2024; Hu, Xiaomin/GQH-5077-2022",,,,,,,,,,,,,,0366-6999,2542-5641,,,,Aug 5,2019,132,15,,,,,1843,1855,,10.1097/CM9.0000000000000330,0,,,,,,,,31306229,,,,,WOS:000487665200011,0
J,"Paraskevaidis, I; Briasoulis, A; Tsougos, E",,,,"Paraskevaidis, Ioannis; Briasoulis, Alexandros; Tsougos, Elias",,,Oral Cardiac Drug-Gut Microbiota Interaction in Chronic Heart Failure Patients: An Emerging Association,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,,,,,,,,,,,,,,,,,,"Briasoulis, Alexandros/0000-0002-5740-9670",,,,,,,,,,,,,1661-6596,1422-0067,,,,FEB,2024,25,3,,,,,,,1716,10.3390/ijms25031716,0,,,,,,,,38338995,,,,,WOS:001160173300001,0
J,"Moutsoglou, DM; Tatah, J; Prisco, SZ; Prins, KW; Staley, C; Lopez, S; Blake, M; Teigen, L; Kazmirczak, F; Weir, EK; Kabage, AJ; Guan, WH; Khoruts, A; Thenappan, T",,,,"Moutsoglou, Daphne M.; Tatah, Jasmine; Prisco, Sasha Z.; Prins, Kurt W.; Staley, Christopher; Lopez, Sharon; Blake, Madelyn; Teigen, Levi; Kazmirczak, Felipe; Weir, E. Kenneth; Kabage, Amanda J.; Guan, Weihua; Khoruts, Alexander; Thenappan, Thenappan",,,Pulmonary Arterial Hypertension Patients Have a Proinflammatory Gut Microbiome and Altered Circulating Microbial Metabolites,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,,,,,,,,,,,,,,,,,"Guan, Weihua/C-5030-2008","Guan, Weihua/0000-0002-8435-9672; Teigen, Levi/0000-0002-6409-0485; Thenappan, Thenappan/0000-0002-6210-0467; Kazmirczak, Felipe/0000-0001-8998-7259; Blake, Madelyn/0000-0002-6802-9470; Lopez, Sharon/0000-0002-1744-4447; Moutsoglou, Daphne/0000-0002-4071-3756; Staley, Christopher/0000-0002-2309-0083; Prisco, Sasha/0000-0002-9059-0635; Prins, Kurt/0000-0002-0364-6742",,,,,,,,,,,,,1073-449X,1535-4970,,,,Mar 15,2023,207,6,,,,,740,756,,10.1164/rccm.202203-0490OC,0,,,,,,,,36343281,,,,,WOS:000950552100016,0
J,"Tang, WHW; Nemet, I; Li, XS; Wu, YP; Haghikia, A; Witkowski, M; Koeth, RA; Demuth, I; König, M; Steinhagen-Thiessen, E; Bäckhed, F; Fischbach, MA; Deb, A; Landmesser, U; Hazen, SL",,,,"Tang, W. H. Wilson; Nemet, Ina; Li, Xinmin S.; Wu, Yuping; Haghikia, Arash; Witkowski, Marco; Koeth, Robert A.; Demuth, Ilja; Koenig, Maximilian; Steinhagen-Thiessen, Elisabeth; Backhed, Fredrik; Fischbach, Michael A.; Deb, Arjun; Landmesser, Ulf; Hazen, Stanley L.",,,Prognostic value of gut microbe-generated metabolite phenylacetylglutamine in patients with heart failure,EUROPEAN JOURNAL OF HEART FAILURE,,,,,,,,,,,,,,,,,,"Witkowski, Marco/0000-0002-6952-5038; Fischbach, Michael/0000-0003-3079-8247",,,,,,,,,,,,,1388-9842,1879-0844,,,,2024 Jan 25,2024,,,,,,,,,,10.1002/ejhf.3111,0,,Jan 2024,,,,,,38124458,,,,,WOS:001149688400001,0
J,"Ho, KJ; Ramirez, JL; Kulkarni, R; Harris, KG; Helenowski, I; Xiong, LQ; Ozaki, CK; Grenon, SM",,,,"Ho, Karen J.; Ramirez, Joel L.; Kulkarni, Rohan; Harris, Katharine G.; Helenowski, Irene; Xiong, Liqun; Ozaki, C. Keith; Grenon, S. Marlene",,,Plasma Gut Microbe-Derived Metabolites Associated with Peripheral Artery Disease and Major Adverse Cardiac Events,MICROORGANISMS,,,,,,,,,,,,,,,,,"Ozaki, C Keith/A-4937-2013","Harris, Katharine/0000-0001-6141-1207; Ho, Karen/0000-0002-7514-8953",,,,,,,,,,,,,,2076-2607,,,,OCT,2022,10,10,,,,,,,2065,10.3390/microorganisms10102065,0,,,,,,,,36296342,,,,,WOS:000873095100001,0
J,"Li, QH; Larouche-Lebel, É; Loughran, KA; Huh, TP; Suchodolski, JS; Oyama, MA",,,,"Li, Qinghong; Larouche-Lebel, Eva; Loughran, Kerry A.; Huh, Terry P.; Suchodolski, Jan S.; Oyama, Mark A.",,,Gut Dysbiosis and Its Associations with Gut Microbiota-Derived Metabolites in Dogs with Myxomatous Mitral Valve Disease,MSYSTEMS,,,,,,,,,,,,,,,,,"Li, Qinghong/K-3458-2019","Li, Qinghong/0000-0002-2584-6024",,,,,,,,,,,,,2379-5077,,,,,APR,2021,6,2,,,,,,,e00111-21,10.1128/mSystems.00111-21,0,,,,,,,,33879495,,,,,WOS:000668658500007,0
J,"Wei, HR; Zhao, MM; Wu, JF; Li, CZ; Huang, M; Gao, JN; Zhang, Q; Ji, L; Wang, Y; Zhao, CX; Dong, ED; Zheng, LM; Wang, DW",,,,"Wei, Haoran; Zhao, Mingming; Wu, Junfang; Li, Chenze; Huang, Man; Gao, Jianing; Zhang, Qi; Ji, Liang; Wang, Yan; Zhao, Chunxia; Dong, Erdan; Zheng, Lemin; Wang, Dao Wen",,,Association of Systemic Trimethyllysine With Heart Failure With Preserved Ejection Fraction and Cardiovascular Events,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,,,,,,,,,,,,,,,,,"Zhao, Chunxia/KBB-4190-2024; liu, sha/JXL-6600-2024; chen, minghui/KFR-8832-2024; Wu, Junfang/AAN-9409-2020; Gao, Jianing/HCH-0899-2022; liu, jiayu/JCP-0511-2023; gao, jianing/AIF-1804-2022; li, fangyu/KCY-0521-2024","gao, jianing/0000-0001-7081-0031; li, fangyu/0009-0009-8303-9157; Wei, Haoran/0000-0001-6566-6602; Wang, Dao Wen/0000-0002-9774-3980",,,,,,,,,,,,,0021-972X,1945-7197,,,,Nov 25,2022,107,12,,,,,E4360,E4370,,10.1210/clinem/dgac519,0,,Sep 2022,,,,,,36062477,,,,,WOS:000868820300001,0
J,"Carrillo-Salinas, FJ; Anastasiou, M; Ngwenyama, N; Kaur, K; Tai, AL; Smolgovsky, SA; Jetton, D; Aronovitz, M; Alcaide, P",,,,"Carrillo-Salinas, Francisco J.; Anastasiou, Marina; Ngwenyama, Njabulo; Kaur, Kuljeet; Tai, Albert; Smolgovsky, Sasha A.; Jetton, David; Aronovitz, Mark; Alcaide, Pilar",,,Gut dysbiosis induced by cardiac pressure overload enhances adverse cardiac remodeling in a T cell-dependent manner,GUT MICROBES,,,,,,,,,,,,,,,,,"Carrillo-Salinas, Francisco Javier/E-1737-2016","Carrillo-Salinas, Francisco Javier/0000-0002-7936-5859",,,,,,,,,,,,,1949-0976,1949-0984,,,,Nov 9,2020,12,1,,,,,1,20,,10.1080/19490976.2020.1823801,0,,,,,,,,33103561,,,,,WOS:000588451000001,0
J,"Mahenthiran, A; Wilcox, J; Tang, WHW",,,,"Mahenthiran, Ajay; Wilcox, Jennifer; Tang, W. H. Wilson",,,Heart Failure: a Punch from the Gut,CURRENT HEART FAILURE REPORTS,,,,,,,,,,,,,,,,,,"Wilcox, Jennifer/0000-0001-6277-1079",,,,,,,,,,,,,1546-9530,1546-9549,,,,APR,2024,21,2,,,,,73,80,,10.1007/s11897-024-00648-y,0,,Feb 2024,,,,,,38300390,,,,,WOS:001153749700001,0
J,"Jain, H; Marsool, MDM; Goyal, A; Sulaiman, SA; Fatima, L; Idrees, M; Sharma, B; Borra, V; Gupta, P; Nadeem, A; Jain, J; Ali, H; Sohail, AH",,,,"Jain, Hritvik; Marsool, Mohammed Dheyaa Marsool; Goyal, Aman; Sulaiman, Samia Aziz; Fatima, Laveeza; Idrees, Muhammad; Sharma, Bhavya; Borra, Vamsikalyan; Gupta, Prakash; Nadeem, Abdullah; Jain, Jyoti; Ali, Hassam; Sohail, Amir H.",,,Unveiling the relationship between gut microbiota and heart failure: Recent understandings and insights,CURRENT PROBLEMS IN CARDIOLOGY,,,,,,,,,,,,,,,,,"Ali, Hassam/AFT-4881-2022; Gupta, Prakash/AEQ-9112-2022; Marsool, Mohammed Dheyaa Marsool/HPF-3454-2023","Ali, Hassam/0000-0001-5546-9197; Gupta, Prakash/0000-0002-1267-3769; Marsool, Mohammed Dheyaa Marsool/0000-0002-3481-4534; Sulaiman, Samia/0009-0001-2937-9064; Fatima, Laveeza/0000-0002-4152-8202; Borra, Vamsikalyan/0000-0002-9595-5699; Jain, Hritvik/0000-0001-5608-4299; Goyal, Aman/0000-0001-8062-5657; Idrees, Dr.Muhammad/0000-0002-9516-8214",,,,,,,,,,,,,0146-2806,1535-6280,,,,JAN,2024,49,1,C,,,,,,102179,10.1016/j.cpcardiol.2023.102179,0,,Nov 2023,,,,,,37923029,,,,,WOS:001125775300001,0
J,"Masenga, SK; Kirabo, A",,,,"Masenga, Sepiso K. K.; Kirabo, Annet",,,Salt and Gut Microbiota in Heart Failure,CURRENT HYPERTENSION REPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522-6417,1534-3111,,,,AUG,2023,25,8,,,,,173,184,,10.1007/s11906-023-01245-5,0,,May 2023,,,,,,37219766,,,,,WOS:000994102800001,0
J,"Spehlmann, ME; Rangrez, AY; Dhotre, DP; Schmiedel, N; Chavan, N; Bang, C; Muller, OJ; Shouche, YS; Franke, A; Frank, D; Frey, N",,,,"Spehlmann, Martina E.; Rangrez, Ashraf Y.; Dhotre, Dhiraj P.; Schmiedel, Nesrin; Chavan, Nikita; Bang, Corinna; Mueller, Oliver J.; Shouche, Yogesh S.; Franke, Andre; Frank, Derk; Frey, Norbert",,,Heart Failure Severity Closely Correlates with Intestinal Dysbiosis and Subsequent Metabolomic Alterations,BIOMEDICINES,,,,,,,,,,,,,,,,,"Franke, Andre/B-2151-2010; Frey, Norbert/M-7749-2019; Rangrez, Ashraf/H-4988-2016","Franke, Andre/0000-0003-1530-5811; Frey, Norbert/0000-0001-7611-378X; Rangrez, Ashraf/0000-0003-2630-9754; Muller, Oliver/0000-0001-8223-2638",,,,,,,,,,,,,,2227-9059,,,,APR,2022,10,4,,,,,,,809,10.3390/biomedicines10040809,0,,,,,,,,35453559,,,,,WOS:000785510000001,0
