Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
STEMIT1-6	Extraction			STEMIT1-6	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s001-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT1-7	Extraction			STEMIT1-7	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210223_s021-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT1-8	Extraction			STEMIT1-8	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s003-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT1-9	Extraction			STEMIT1-9	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s017-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT1-10	Extraction			STEMIT1-10	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s019-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT2-1	Extraction			STEMIT2-1	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s002-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT2-2	Extraction			STEMIT2-2	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s012-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT2-3	Extraction			STEMIT2-3	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s005-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT2-4	Extraction			STEMIT2-4	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210223_s022-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT2-5	Extraction			STEMIT2-5	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s011-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT2-6	Extraction			STEMIT2-6	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s013-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT2-7	Extraction			STEMIT2-7	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s008-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT2-8	Extraction			STEMIT2-8	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210223_s024-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT2-9	Extraction			STEMIT2-9	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s018-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT2-10	Extraction			STEMIT2-10	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210223_s025-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
